album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
02IRa0WdusK3K3rJddWkwe,Turn It Up,artist:ca871e78-4fbb-f409-a5ad-0cc1c23cb096,album,2010,,1,,,02IRa0WdusK3K3rJddWkwe,,tidy_tuesday_dbcl
02Jahi5JyeAycCsYMM7b0J,Fornever,artist:c3cfb6de-1f14-a068-aa9b-8ded013b0ca7,album,2010,,1,,,02Jahi5JyeAycCsYMM7b0J,,tidy_tuesday_dbcl
02LkJRbmq7xziiD7Ph7yFn,Tubes,artist:caf3685b-c8e7-43d7-d290-a9104faad39a,album,2017,,1,,,02LkJRbmq7xziiD7Ph7yFn,,tidy_tuesday_dbcl
02NYB7JtjRJV7FWsl4Cdar,Someday At Christmas,artist:8994337c-61ca-53b3-2758-b99b1373ce98,album,1967,,1,,,02NYB7JtjRJV7FWsl4Cdar,,tidy_tuesday_dbcl
02O7PX6ypIu0rH431o4rEZ,Lighthouse,artist:116d3d56-6b69-6c72-f0e2-c663e552c66f,album,2015,,1,,,02O7PX6ypIu0rH431o4rEZ,,tidy_tuesday_dbcl
02RhlPao834sVeje0nHYxB,Pamiętnik EX,artist:25353f16-1f2a-d96f-bbe4-942a0d54ea78,album,2019,,1,,,02RhlPao834sVeje0nHYxB,,tidy_tuesday_dbcl
02aLmclNogrHwzJnrD3oBX,Sangre Nueva Special Edition,artist:108bfedf-af9a-ca1d-dc36-4add780d4d1a,album,2006,,1,,,02aLmclNogrHwzJnrD3oBX,,tidy_tuesday_dbcl
02cR9xKPSmMNOHAOcEcI7s,Kick It,artist:e247a2a5-2a7c-3fe4-75be-af386f4bf03a,album,2019,,1,,,02cR9xKPSmMNOHAOcEcI7s,,tidy_tuesday_dbcl
02cVeTcA0KkEF8CMqnqzSB,You,artist:f3067960-ef07-dd2b-c1c0-4a4fcf73d21d,album,2014,,1,,,02cVeTcA0KkEF8CMqnqzSB,,tidy_tuesday_dbcl
02d4EXbFk2E0GPMP7XGnXb,Drive,artist:7d2e2c7f-3861-82f7-1c8d-4c993b22846c,album,2016,,1,,,02d4EXbFk2E0GPMP7XGnXb,,tidy_tuesday_dbcl
